number,name,address,coordonnees,latitude,longitude
2010,2010 - CONFLUENCE / DARSE,ANGLE ALLEE ANDRE MURE ET QUAI ANTOINE RIBOUD,"['45.743317', '4.815747']",45.743317,4.815747
5015,5015 - FULCHIRON,Devant le n°41 rue de la Quarantaine,"['45.75197', '4.821662']",45.75197,4.821662
32001,32001 - COUZON - CENTRE,,"['45.846034', '4.832409']",45.846034,4.832409
6004,6004 - FOCH,Angle rue Vendôme,"['45.768896', '4.844845']",45.768896,4.844845
7035,7035 - MARSEILLE / UNIVERSITÉ,Angle rue de Marseille,"['45.750945', '4.83927']",45.750945,4.83927
10120,10120 - SALENGRO / DESCARTES,41 AV. ROGER SALENGRO (VILLEURBANNE),"['45.776239', '4.871634']",45.776239,4.871634
5016,5016 - POINT DU JOUR / GRANGES,Devant la mairie du 5°,"['45.756204', '4.802727']",45.756204,4.802727
9013,9013 - QUAI PAUL SÉDALLIAN,Angle rue de la Navigation,"['45.787522', '4.814418']",45.787522,4.814418
10028,10028 - ECOLE DE MUSIQUE,Cours de la République/Angle Anatole France,"['45.767467', '4.874032']",45.767467,4.874032
6041,6041 - CITÉ INTERNATIONALE / TÊTE D'OR NORD,50 QUAI ACHILLE LIGNON,"['45.78458', '4.859664']",45.78458,4.859664
10011,10011 - GRATTE-CIEL,174 COURS EMILE ZOLA,"['45.769226', '4.880491']",45.769226,4.880491
15002,15002 - ST PRIEST - CITE BERLIET,,"['45.70597', '4.900886']",45.70597,4.900886
10005,10005 - 11 NOVEMBRE,Face Entrée du Parc de la Tête d'Or**,"['45.779702', '4.860029']",45.779702,4.860029
4012,4012 - PLACE ADRIEN GODIEN,Angle montée de la Boucle,"['45.778767', '4.841109']",45.778767,4.841109
11004,11004 - CALUIRE - BRANLY / PASTEUR,,"['45.79169', '4.843452']",45.79169,4.843452
16002,16002 - VÉNISSIEUX - LÉVY / VIENNE,,"['45.719399', '4.854681']",45.719399,4.854681
3009,3009 - MUSEE AFRICAIN,133 COURS GAMBETTA,"['45.750251', '4.857919']",45.750251,4.857919
10122,10122 - VERDUN / DESGRAND,17 RUE DE VERDUN (VILLEURBANNE),"['45.784023', '4.897102']",45.784023,4.897102
16001,16001 - VENISSIEUX - PLACE ROMAND,,"['45.725891', '4.858428']",45.725891,4.858428
7038,7038 - PLACE STALINGRAD,Angle Rue de la Guillotiere,"['45.749622', '4.85299']",45.749622,4.85299
10091,10091 - CHÂTEAU GAILLARD / FORT,28 RUE DU CHÂTEAU GAILLARD (VILLEURBANNE),"['45.774754', '4.887977']",45.774754,4.887977
2021,2021 - RAMBAUD / ECOLE DU CINÉMA,,"['45.745824', '4.817176']",45.745824,4.817176
4025,4025 - CHAZIÈRE,29 RUE CHAZIERE,"['45.775425', '4.817888']",45.775425,4.817888
10113,10113 - GARE DE VILLEURBANNE,49 AV. GENERAL LECLERC (VILLEURBANNE),"['45.755768', '4.891542']",45.755768,4.891542
4023,4023 - PONT MASARYK,Face au 45 quai Gillet,"['45.778175', '4.810716']",45.778175,4.810716
3066,3066 - KIMMERLING / FAURE,139 AV. FELIX FAURE,"['45.754296', '4.86359']",45.754296,4.86359
10111,10111 - CHARLES HERNU,,"['45.770309', '4.86196']",45.770309,4.86196
5040,5040 - PLACE CRÉPU,7 PLACE BENOIT CREPU,"['45.757847', '4.826103']",45.757847,4.826103
7008,7008 - JEAN JAURÈS / GUILLOTIÈRE,Avenue Jean Jaurès - Angle rue de la Guillotière,"['45.75251', '4.846278']",45.75251,4.846278
7024,7024 - BANCEL / CHEVREUL,6 RUE BANCEL,"['45.748504', '4.840505']",45.748504,4.840505
2023,2023 -  PERRACHE / PETIT,Entre rue Victor Hugo et rue d'Auvergne,"['45.7444746076792', '4.82671963006449']",45.7444746076792,4.82671963006449
8029,8029 - ETATS-UNIS / LÉVIGNE,81 BVD DES Etats-Unis,"['45.732366', '4.865101']",45.732366,4.865101
4004,4004 - HÉNON,Angle rue Hénon,"['45.779786', '4.827635']",45.779786,4.827635
8061,8061 - STADE VUILLERMET,164 AV. PAUL SANTY,"['45.725403', '4.881292']",45.725403,4.881292
1023,1023 - CROIX ROUSSE / PERFETTI,16 BVD DE LA CROIX-ROUSSE,"['45.772229', '4.819389']",45.772229,4.819389
7003,7003 - GAMBETTA / GARIBALDI,Cours Gambette - Prolongement rue Rachais,"['45.751827', '4.8526']",45.751827,4.8526
7030,7030 - QUARTIER GENERAL FRERE,33 Boulevard Yves Farge 69007 Lyon,"['45.743163', '4.834165']",45.743163,4.834165
6042,6042 - CITÉ INTERNATIONALE / RÉSIDENCE HÔTELIÈRE,devant la résidence hôtelière à l'ouest de la place publique,"['45.784812', '4.856432']",45.784812,4.856432
2013,2013 - CÉLESTINS,Côté nord de la place vers l'ascenseur,"['45.759932', '4.832111']",45.759932,4.832111
3086,3086 - FEUILLAT / LACASSAGNE,76 AV. LACASSAGNE,"['45.749563', '4.875934']",45.749563,4.875934
8025,8025 - DUMONT / JOUVET,12 RUE SANTOS DUMONT,"['45.744447', '4.860889']",45.744447,4.860889
3050,3050 - FRICHE RVI,5 rue Félix Rollet 69003 Lyon,"['45.748346', '4.875955']",45.748346,4.875955
8056,8056 - DELORE / AUDIBERT ET LAVIROTTE,69 RUE AUDIBERT ET LAVIROTTE,"['45.73586', '4.856888']",45.73586,4.856888
10119,10119 - VILLEURBANNE SAINT-JEAN,2 RUE DES ACACIAS VILLEURBANNE,"['45.780422', '4.904505']",45.780422,4.904505
7053,7053 - JAURÈS / THIBAUDIÈRE,26 RUE DE LA THIBAUDIERE,"['45.750344', '4.845048']",45.750344,4.845048
3012,3012 - PLACE DU CHÂTEAU,A côté de l'église,"['45.749565', '4.887311']",45.749565,4.887311
4009,4009 - JACQUARD / DENFERT-ROCHEREAU,Rue Denfert-Rochereau / Angle rue Jacquart,"['45.77591', '4.825394']",45.77591,4.825394
10089,10089 - COLIN / PERRONCEL,Rue Colin - Angle rue Alexis Perroncel,"['45.774581', '4.87406']",45.774581,4.87406
1031,1031 - PLACE DE LA PAIX,Place de la Paix - En face de La Poste,"['45.768023', '4.831733']",45.768023,4.831733
3037,3037 - PAUL BERT / GARIBALDI,Rue Paul Bert,"['45.757112', '4.853405']",45.757112,4.853405
8035,8035 - SANS SOUCI,54 COURS ALBERT THOMAS,"['45.747251', '4.865386']",45.747251,4.865386
5045,5045 - VALDO / RIVET,64 RUE JEUNET,"['45.750497', '4.788819']",45.750497,4.788819
13001,13001 - DECINES - CENTRE,,"['45.771902', '4.955721']",45.771902,4.955721
6035,6035 - CITÉ INTERNATIONALE,Face parvis du palais des congrès,"['45.785456', '4.854085']",45.785456,4.854085
1036,1036 - AVEYRON,158 BVD DE LA CROIX-ROUSSE,"['45.774366', '4.832716']",45.774366,4.832716
6022,6022 - PLACE MARÉCHAL LYAUTEY,Pierre Corneille/cours Franklin Roosevelt,"['45.769383', '4.842364']",45.769383,4.842364
9020,9020 - BOURBONNAIS,Angle rue Horand / rue Masset,"['45.773468', '4.800286']",45.773468,4.800286
2027,2027 - PERRACHE EST,,"['45.746163', '4.82548']",45.746163,4.82548
2016,2016 - PLACE REGAUD,Angle rue Tupin / rue Herriot,"['45.763065', '4.83425']",45.763065,4.83425
3080,3080 - PART-DIEU / VILLETTE,55 RUE DE LA VILLETTE,"['45.760042', '4.861734']",45.760042,4.861734
5029,5029 - PLACE GERSON,Prox. Quai Pierre Scize,"['45.767057', '4.827014']",45.767057,4.827014
2004,2004 - PERRACHE / CARNOT,16 PLACE CARNOT,"['45.750116', '4.82801']",45.750116,4.82801
10079,10079 - ANATOLE FRANCE / BARBUSSE,Rue Anatole France/Angle av Barbusse,"['45.768127', '4.879096']",45.768127,4.879096
14001,14001 - BRON - CENTRE NAUTIQUE,,"['45.742932', '4.90863']",45.742932,4.90863
7009,7009 - JEAN JAURÈS,174–180 Avenue Jean Jaurès 69007 Lyon,"['45.737503', '4.837484']",45.737503,4.837484
7045,7045 - PARC DES BERGES,40 AV. LECLERC,"['45.737745', '4.824495']",45.737745,4.824495
3101,3101 - PATINOIRE BARABAN,55 RUE DE BARABAN,"['45.762055', '4.868486']",45.762055,4.868486
4021,4021 - TABAREAU,Angle Bvd de la Croix-Rousse,"['45.774061', '4.82516']",45.774061,4.82516
3103,3103 - PLACE DANTON,3 PLACE DANTON,"['45.7548502313005', '4.85748756866509']",45.7548502313005,4.85748756866509
6031,6031 - LAFAYETTE / CORNEILLE,Angle cours Lafayette,"['45.763717', '4.843791']",45.763717,4.843791
10018,10018 - TOLSTOÏ / FLORIAN,Rue Florian/Angle Cours Tolstoï,"['45.761801', '4.880735']",45.761801,4.880735
9049,9049 - SERGENT BERTHET / GORGE DE LOUP,23 RUE GORGE DE LOUP,"['45.770136', '4.80516']",45.770136,4.80516
3017,3017 - SAXE / DUNOIR,,"['45.760912', '4.845291']",45.760912,4.845291
9009,9009 - BERLIOZ / CHALINEL,,"['45.801192', '4.825451']",45.801192,4.825451
10021,10021 - GRANDCLÉMENT,Angle cours Tolstoï,"['45.759743', '4.889938']",45.759743,4.889938
7023,7023 - BERTHELOT / ROUTE DE VIENNE,Route de Vienne - Angle avenue Berthelot,"['45.742639', '4.850538']",45.742639,4.850538
6044,6044 - CHARMETTES / BELLECOMBE,23 RUE DE LA VIABERT,"['45.766372', '4.865058']",45.766372,4.865058
3008,3008 - INSTITUT LUMIERE,105 COURS ALBERT THOMAS,"['45.745828', '4.870631']",45.745828,4.870631
3040,3040 - FAURE / DANTON,,"['45.753528', '4.857784']",45.753528,4.857784
