latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.75,4.8500004,175.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),cloud_cover (%),wind_speed_200m (km/h),is_day ()
2023-09-01T00:00,20.5,55,0.00,29,3.9,0
2023-09-01T01:00,19.7,56,0.00,22,3.8,0
2023-09-01T02:00,19.7,56,0.00,32,4.7,0
2023-09-01T03:00,19.6,56,0.00,15,7.4,0
2023-09-01T04:00,19.0,59,0.00,11,6.8,0
2023-09-01T05:00,18.3,62,0.00,0,5.8,0
2023-09-01T06:00,18.0,64,0.00,11,8.4,1
2023-09-01T07:00,19.6,58,0.00,17,8.4,1
2023-09-01T08:00,21.7,51,0.00,19,7.6,1
2023-09-01T09:00,24.0,44,0.00,36,8.4,1
2023-09-01T10:00,25.6,40,0.00,19,10.7,1
2023-09-01T11:00,27.0,37,0.00,17,12.8,1
2023-09-01T12:00,28.7,34,0.00,26,15.2,1
2023-09-01T13:00,29.5,32,0.00,52,16.8,1
2023-09-01T14:00,30.2,32,0.00,64,19.0,1
2023-09-01T15:00,30.5,30,0.00,82,20.8,1
2023-09-01T16:00,30.3,32,0.00,73,24.0,1
2023-09-01T17:00,29.8,34,0.00,42,27.3,1
2023-09-01T18:00,27.8,41,0.00,29,29.4,1
2023-09-01T19:00,26.5,42,0.00,40,32.8,0
2023-09-01T20:00,25.5,47,0.00,49,33.9,0
2023-09-01T21:00,24.6,49,0.00,37,35.3,0
2023-09-01T22:00,23.7,53,0.00,36,35.0,0
2023-09-01T23:00,22.8,61,0.00,85,36.7,0
2023-09-02T00:00,22.3,62,0.00,77,34.6,0
2023-09-02T01:00,21.8,65,0.00,77,33.5,0
2023-09-02T02:00,21.2,69,0.00,92,31.0,0
2023-09-02T03:00,20.8,73,0.00,92,30.3,0
2023-09-02T04:00,20.3,76,0.00,57,29.2,0
2023-09-02T05:00,20.0,76,0.00,59,29.7,0
2023-09-02T06:00,20.5,70,0.00,57,25.6,1
2023-09-02T07:00,21.4,65,0.00,49,23.8,1
2023-09-02T08:00,22.9,61,0.00,33,21.3,1
2023-09-02T09:00,24.9,54,0.00,35,23.1,1
2023-09-02T10:00,26.9,47,0.00,76,23.8,1
2023-09-02T11:00,28.3,43,0.00,79,25.2,1
2023-09-02T12:00,29.9,34,0.00,40,22.2,1
2023-09-02T13:00,30.7,31,0.00,35,21.2,1
2023-09-02T14:00,31.2,29,0.00,37,19.3,1
2023-09-02T15:00,31.5,28,0.00,53,18.7,1
2023-09-02T16:00,31.2,29,0.00,70,19.3,1
2023-09-02T17:00,30.7,31,0.00,71,20.5,1
2023-09-02T18:00,28.6,37,0.00,70,19.9,1
2023-09-02T19:00,26.9,44,0.00,82,26.9,0
2023-09-02T20:00,25.6,49,0.00,99,25.7,0
2023-09-02T21:00,24.8,52,0.00,99,24.2,0
2023-09-02T22:00,24.2,54,0.00,89,25.4,0
2023-09-02T23:00,23.8,55,0.00,100,14.4,0
2023-09-03T00:00,21.6,71,0.00,80,11.8,0
2023-09-03T01:00,20.3,77,0.00,77,6.2,0
2023-09-03T02:00,20.2,75,0.00,0,5.4,0
2023-09-03T03:00,20.3,71,0.00,3,2.2,0
2023-09-03T04:00,20.2,68,0.00,7,4.3,0
2023-09-03T05:00,18.8,77,0.00,15,3.3,0
2023-09-03T06:00,18.7,75,0.00,79,5.0,1
2023-09-03T07:00,20.7,71,0.00,81,4.6,1
2023-09-03T08:00,22.9,62,0.00,100,9.1,1
2023-09-03T09:00,24.9,50,0.00,100,8.8,1
2023-09-03T10:00,26.9,44,0.00,68,4.3,1
2023-09-03T11:00,28.8,38,0.00,43,3.7,1
2023-09-03T12:00,30.8,34,0.00,77,7.2,1
2023-09-03T13:00,32.1,31,0.00,65,10.2,1
2023-09-03T14:00,32.8,29,0.00,71,9.0,1
2023-09-03T15:00,33.1,28,0.00,64,10.5,1
2023-09-03T16:00,32.9,28,0.00,55,8.4,1
2023-09-03T17:00,32.2,28,0.00,48,14.5,1
2023-09-03T18:00,30.0,40,0.00,41,17.1,1
2023-09-03T19:00,28.7,46,0.00,33,19.0,0
2023-09-03T20:00,28.0,49,0.00,39,17.8,0
2023-09-03T21:00,27.3,49,0.00,57,24.1,0
2023-09-03T22:00,26.1,52,0.00,49,25.6,0
2023-09-03T23:00,25.4,50,0.00,58,22.1,0
2023-09-04T00:00,22.8,59,0.00,60,19.4,0
2023-09-04T01:00,21.9,61,0.00,39,15.5,0
2023-09-04T02:00,20.8,65,0.00,29,16.6,0
2023-09-04T03:00,20.6,69,0.00,35,16.2,0
